method,image_rel,gt,pred,confidence_basecsv,ned,accuracy,sigma,ssim,tenengrad,delta_mu,contrast_pr,contrast_gain,key,idx,filename,sharp_score,low_light_score,contrast_score,noise_score
baseline,41_g.png,g,g,0.4916716516017914,1.0,1,57.361998306136464,0.0,157548114.0,0.0,0.4941176470588235,0.0,41_g.png,41,41_g.png,0.8186193009695961,0.2762490091560028,0.4941176421176471,0.1429470411721781
baseline,42_intelligent.png,intelligent,intelligent,0.2675824165344238,1.0,1,40.702299527760935,0.0,311373280.0,0.0,0.4431372549019607,0.0,42_intelligent.png,42,42_intelligent.png,0.816657622237306,0.2034963060794777,0.439215681882353,0.1387256669068492
baseline,43_inhabited.png,inhabited,inhabited,0.6838847994804382,1.0,1,10.21118831833852,0.0,14776118.0,0.0,0.1058823529411764,0.0,43_inhabited.png,43,43_inhabited.png,0.7090424769351475,0.1551142047082848,0.1058823518823529,0.0714565246671817
baseline,44_environments.png,environments,environments,0.5558410286903381,1.0,1,13.247986355037185,0.0,36690716.0,0.0,0.1058823529411764,0.0,44_environments.png,44,44_environments.png,0.7579644897600651,0.16059779848967,0.1019607832941176,0.0782599688014338
baseline,45_group.png,group,group,0.9953746795654296,1.0,1,43.00709728776148,0.0,177798550.0,0.0,0.4549019607843137,0.0,45_group.png,45,45_group.png,0.7836197299301407,0.2219171835237884,0.4549019562352941,0.2289826325821781
baseline,46_University.png,University,university,0.9818546772003174,0.9,0,36.190261851254974,0.0,259857048.0,0.0,0.3847058823529408,0.0,46_University.png,46,46_University.png,0.8174397758645933,0.2116069734175064,0.3843137216470589,0.119935005554659
baseline,47_of.png,of,of,0.4138528704643249,1.0,1,40.59789345852978,0.0,57815516.0,0.0,0.4392156862745098,0.0,47_of.png,47,47_of.png,0.7579894538407721,0.2152838630272202,0.439215681882353,0.1688630338871903
baseline,48_Essex.png,Essex,essex,0.9999314546585084,0.8,0,40.310790067134526,0.0,158661436.0,0.0,0.4431372549019607,0.0,48_Essex.png,48,48_Essex.png,0.7835626505647705,0.2293169331595127,0.439215681882353,0.2090716195224654
baseline,49_Bernd.png,Bernd,bernd,0.8235748410224915,0.8,0,19.181759877242012,0.0,38497520.0,0.0,0.2039215686274509,0.0,49_Bernd.png,49,49_Bernd.png,0.7223821192190393,0.4017878095057006,0.2078431351764706,0.0904280601200524
baseline,50_Reuse.png,Reuse,reuse,0.9995285272598268,0.8,0,19.089737342023994,0.0,38160740.0,0.0,0.2,0.0,50_Reuse.png,50,50_Reuse.png,0.7402212127142371,0.4004265861439885,0.1960784294117647,0.0899761062565755
baseline,51_Roland.png,Roland,roland,0.7303517460823059,0.8333333333333334,0,19.17517434315893,0.0,47781178.0,0.0,0.2078431372549019,0.0,51_Roland.png,51,51_Roland.png,0.7554454004648491,0.4015532260601451,0.2039215665882353,0.0869717299866352
baseline,52_Vollmar.png,Vollmar,vollmar,0.6545721888542175,0.8571428571428572,0,19.235757850442933,0.0,45270050.0,0.0,0.2086274509803914,0.0,52_Vollmar.png,52,52_Vollmar.png,0.7478825839279107,0.3906260528937567,0.2078431351764706,0.086430477865034
baseline,53_Informatikforschung.png,Informatikforschung,informaticoschung,0.0813871547579765,0.7894736842105263,0,45.29184424736038,0.0,1157539448.0,0.0,0.4862745098039215,0.0,53_Informatikforschung.png,53,53_Informatikforschung.png,0.8353820563000434,0.4247135370898733,0.4862745049411765,0.0689288592582412
baseline,54_in.png,in,in,0.6538698077201843,1.0,1,51.63543313294011,0.0,102430138.0,0.0,0.4705882352941176,0.0,54_in.png,54,54_in.png,0.6907729691552031,0.4032329999590329,0.4705882305882353,0.0726659460716553
baseline,55_Deutschland.png,Deutschland,deutschland,0.596284031867981,0.9090909090909092,0,48.08481988175049,0.0,810902902.0,0.0,0.4901960784313725,0.0,55_Deutschland.png,55,55_Deutschland.png,0.8201997014156138,0.4364690978996524,0.4901960735294118,0.0651906269023951
baseline,56_Springer.png,Springer,springer,0.8398075699806213,0.875,0,50.40660968389989,0.0,365893720.0,0.0,0.5137254901960784,0.0,56_Springer.png,56,56_Springer.png,0.7754290242592361,0.6992684185686492,0.5137254850588235,0.0727633130244201
baseline,57_M.png,M,aa,0.2137507945299148,0.0,0,44.35581737157635,0.0,265007224.0,0.0,0.4705882352941176,0.0,57_M.png,57,57_M.png,0.7508742071246697,0.402543962649854,0.4705882305882353,0.1177424567258636
baseline,58_TM.png,TM,m,0.440283864736557,0.0,0,43.73049445908908,0.0,13921462.0,0.0,0.4545098039215686,0.0,58_TM.png,58,58_TM.png,0.6919289113352853,0.352748646657225,0.4509803876470589,0.2634236291333044
baseline,59_CHECK.png,CHECK,check,0.8127011060714722,0.0,0,39.76651928912946,0.0,195409584.0,0.0,0.4,0.0,59_CHECK.png,59,59_CHECK.png,0.8321707734784874,0.2827946685483327,0.3999999960000001,0.1970557580452584
baseline,60_SIGNAL.png,SIGNAL,signal,0.3019872009754181,0.0,0,36.27022875777365,0.0,195286968.0,0.0,0.3843137254901961,0.0,60_SIGNAL.png,60,60_SIGNAL.png,0.7856338891844277,0.2406582209853679,0.3882352902352942,0.2064937273237121
baseline,61_CABLE.png,CABLE,cable,0.9031836986541748,0.0,0,30.27471026462718,0.0,140937564.0,0.0,0.3294117647058823,0.0,61_CABLE.png,61,61_CABLE.png,0.7787412278993125,0.2030858245042489,0.3294117614117647,0.2149066645860245
baseline,62_P.png,P,p,0.0750760659575462,0.0,0,48.29330234942386,0.0,182131116.0,0.0,0.4352941176470588,0.0,62_P.png,62,62_P.png,0.8670733585358322,0.4829914134880762,0.4313725447058824,0.253665951951591
baseline,63_P.png,P,p,0.1414422988891601,0.0,0,55.82565205595566,0.0,193386500.0,0.0,0.5294117647058824,0.0,63_P.png,63,63_P.png,0.7765622381208077,0.396698826102674,0.5294117594117648,0.2697986063951121
baseline,64_WARNING.png,WARNING,warning,0.7922640442848206,0.0,0,62.47208621599428,0.0,464206026.0,0.0,0.5725490196078431,0.0,64_WARNING.png,64,64_WARNING.png,0.8258155311475144,0.2748549791762507,0.5764705824705882,0.2193801481094618
baseline,65_Trespassing.png,Trespassing,trespassing,0.9251247644424438,0.9090909090909092,0,51.92553420965657,0.0,479465198.0,0.0,0.5372549019607843,0.0,65_Trespassing.png,65,65_Trespassing.png,0.8118000193103544,0.3361815066253574,0.5372548965882353,0.2208495898874045
baseline,66_or.png,or,or,0.3514389991760254,1.0,1,55.11908400333958,0.0,75362378.0,0.0,0.5686274509803921,0.0,66_or.png,66,66_or.png,0.6855833819295606,0.3649833210583491,0.5686274452941177,0.2357556806639615
baseline,67_causing.png,causing,causing,0.9008694887161256,1.0,1,57.39760089991885,0.0,374191548.0,0.0,0.6078431372549019,0.0,67_causing.png,67,67_causing.png,0.7900862127367616,0.3975751124017351,0.6078431311764706,0.2177796416686518
baseline,68_nuisance.png,nuisance,nuisance,0.273513913154602,1.0,1,50.795007631306,0.0,282820230.0,0.0,0.5254901960784314,0.0,68_nuisance.png,68,68_nuisance.png,0.7868830220178844,0.3126633083677012,0.5254901908235295,0.2096967760942893
baseline,69_on.png,on,on,0.6464999318122864,1.0,1,53.47749735499642,0.0,82472256.0,0.0,0.5372549019607843,0.0,69_on.png,69,69_on.png,0.7499233645273695,0.3301093307551098,0.5411764651764707,0.2124352194723544
baseline,70_a.png,a,a,0.4598985314369201,1.0,1,55.6701554297756,0.0,52495364.0,0.0,0.5607843137254902,0.0,70_a.png,70,70_a.png,0.7267777546517105,0.3429447790812576,0.5568627395294119,0.2580740391898761
baseline,71_school.png,school,school,0.9334603548049928,1.0,1,55.93151187876953,0.0,273995496.0,0.0,0.5764705882352941,0.0,71_school.png,71,71_school.png,0.7744286197696636,0.3537486204735217,0.572549013882353,0.2460591358012699
baseline,72_site.png,site,site,0.419298380613327,1.0,1,59.23657225984648,0.0,178796774.0,0.0,0.596078431372549,0.0,72_site.png,72,72_site.png,0.7083001302354034,0.3743589226568597,0.5960784254117648,0.2957459925417803
baseline,73_can.png,can,can,0.5797984004020691,1.0,1,62.28392484972338,0.0,167310942.0,0.0,0.615686274509804,0.0,73_can.png,73,73_can.png,0.7423909656963091,0.3810222563015517,0.611764699764706,0.3164092921223023
baseline,74_lead.png,lead,lead,0.7922474145889282,1.0,1,62.29689112159647,0.0,220647500.0,0.0,0.611764705882353,0.0,74_lead.png,74,74_lead.png,0.7418831346807844,0.397097170602983,0.611764699764706,0.2664361621530752
baseline,75_to.png,to,to,0.301389068365097,1.0,1,52.89218183536727,0.0,72362120.0,0.0,0.5450980392156862,0.0,75_to.png,75,75_to.png,0.695359600055909,0.3389490706845834,0.5450980337647059,0.2035684808502302
baseline,76_a.png,a,a,0.4098756909370422,1.0,1,55.78300827481616,0.0,51148300.0,0.0,0.5529411764705883,0.0,76_a.png,76,76_a.png,0.7227156367857008,0.3372745064311765,0.5529411709411766,0.2707627355444021
baseline,77_criminal.png,criminal,criminal,0.888377845287323,1.0,1,56.99992984398475,0.0,328920118.0,0.0,0.5803921568627451,0.0,77_criminal.png,77,77_criminal.png,0.7854856880602991,0.3517189559266834,0.5764705824705882,0.2524318982606472
baseline,78_conviction.png,conviction,conviction,0.7908565998077393,1.0,1,59.439163641450136,0.0,453416932.0,0.0,0.6098039215686275,0.0,78_conviction.png,78,78_conviction.png,0.8196865956463011,0.3893020807428378,0.6078431311764706,0.2576914684079989
baseline,79_Under.png,Under,under,0.7066894769668579,0.8,0,48.65053679745825,0.0,83960856.0,0.0,0.5176470588235295,0.0,79_Under.png,79,79_Under.png,0.7019100252741141,0.3586094458433948,0.5137254850588235,0.2323736817523541
baseline,80_Section.png,Section,section,0.6463788747787476,0.8571428571428572,0,49.34037431208679,0.0,116050626.0,0.0,0.5215686274509804,0.0,80_Section.png,80,80_Section.png,0.7257623849056671,0.3660882763999999,0.517647053647059,0.2881394436596919
baseline,81_547.png,547,547,0.3171907663345337,1.0,1,52.67171194417773,0.0,67704424.0,0.0,0.5450980392156862,0.0,81_547.png,81,81_547.png,0.6582701074501965,0.3851670890724553,0.5450980337647059,0.332097099542315
baseline,82_of.png,of,of,0.0928496271371841,1.0,1,47.9765586743216,0.0,36068262.0,0.0,0.531764705882353,0.0,82_of.png,82,82_of.png,0.658675641526698,0.4114973530887775,0.531764700564706,0.2717423679707981
baseline,83_the.png,the,the,0.3031269609928131,1.0,1,51.24980864805949,0.0,55506804.0,0.0,0.5450980392156862,0.0,83_the.png,83,83_the.png,0.6718450082512021,0.3997851622425575,0.5450980337647059,0.3288889296327801
baseline,84_Education.png,Education,education,0.749393880367279,0.8888888888888888,0,54.025293551462944,0.0,176268114.0,0.0,0.5607843137254902,0.0,84_Education.png,84,84_Education.png,0.7475687274059597,0.39037213739136,0.5607843081176471,0.3751149056871914
baseline,85_Act.png,Act,act,0.1800297349691391,0.6666666666666667,0,51.496628474959216,0.0,57882590.0,0.0,0.5411764705882353,0.0,85_Act.png,85,85_Act.png,0.6829975941499156,0.4228181693375408,0.5439215631882355,0.264506922180239
baseline,86_1996.png,1996,1996,0.5971391201019287,1.0,1,56.52158952682496,0.0,105222400.0,0.0,0.5803921568627451,0.0,86_1996.png,86,86_1996.png,0.696196074947009,0.4009787541601471,0.5764705824705882,0.3612143466090439
baseline,87_Essex.png,Essex,essex,0.5413324236869812,0.8,0,57.97910031677333,0.0,140991726.0,0.0,0.5882352941176471,0.0,87_Essex.png,87,87_Essex.png,0.7402680626613656,0.3819513823994618,0.5882352882352943,0.3413475308607184
baseline,88_County.png,County,county,0.9108902215957642,0.8333333333333334,0,55.167859629336775,0.0,170700572.0,0.0,0.5807843137254899,0.0,88_County.png,88,88_County.png,0.7499636018778887,0.4224727977993074,0.5843137196470589,0.2598099489578111
baseline,89_Council.png,Council,council,0.6428414583206177,0.8571428571428572,0,58.184232441605424,0.0,171546942.0,0.0,0.5913725490196077,0.0,89_Council.png,89,89_Council.png,0.7272589006280474,0.4015294629050882,0.5921568568235295,0.3412912029822184
baseline,90_Learning.png,Learning,learning,0.8951330184936523,0.875,0,54.34974994894454,0.0,166824948.0,0.0,0.5741176470588234,0.0,90_Learning.png,90,90_Learning.png,0.7364558464918503,0.4196304853073487,0.572549013882353,0.2244973058746908
baseline,91_Services.png,Services,services,0.343848705291748,0.875,0,57.88652846360456,0.0,165079178.0,0.0,0.5843137254901961,0.0,91_Services.png,91,91_Services.png,0.7350979834038627,0.4032992715005138,0.5843137196470589,0.3398130770693485
baseline,92_Roland.png,Roland,roland,0.993923544883728,0.8333333333333334,0,18.470098862282605,0.0,69813406.0,0.0,0.2,0.0,92_Roland.png,92,92_Roland.png,0.7616886460809902,0.40001916080526,0.1960784294117647,0.0501480021682241
baseline,93_DIGITAL.png,DIGITAL,digital,0.7776330709457397,0.0,0,15.517467665144874,0.0,29766516.0,0.0,0.1490196078431372,0.0,93_DIGITAL.png,93,93_DIGITAL.png,0.7522911475207783,0.4054251903928237,0.1450980377647059,0.0798080989358698
baseline,94_GROUP.png,GROUP,group,0.9997878670692444,0.0,0,15.62127629604656,0.0,28467998.0,0.0,0.1568627450980392,0.0,94_GROUP.png,94,94_GROUP.png,0.7376241988175476,0.4267198744025012,0.1529411749411765,0.0836488009040632
baseline,95_Lord.png,Lord,lord,0.8234865665435791,0.75,0,46.882833006404695,0.0,40002778.0,0.0,0.5137254901960784,0.0,95_Lord.png,95,95_Lord.png,0.6671957142690104,0.4859594586304286,0.517647053647059,0.0560357168142211
baseline,96_Nelson.png,Nelson,ncleon,0.7985296845436096,0.5,0,44.92192110272805,0.0,56057384.0,0.0,0.4941176470588235,0.0,96_Nelson.png,96,96_Nelson.png,0.6809809592577862,0.480733052826979,0.4941176421176471,0.0558362034083607
baseline,97_Servicemenu.png,Servicemenu,servicemeni,0.3044076859951019,0.8181818181818181,0,43.90907312281254,0.0,1072024570.0,0.0,0.4666666666666667,0.0,97_Servicemenu.png,97,97_Servicemenu.png,0.841892541862016,0.269680396235261,0.466666662,0.2622983302744302
baseline,98_Briefkasten.png,Briefkasten,briefkasten,0.7224454879760742,0.9090909090909092,0,36.473570586086,0.0,675439402.0,0.0,0.3843137254901961,0.0,98_Briefkasten.png,98,98_Briefkasten.png,0.827194829735551,0.1901017679868484,0.3803921530588235,0.2246469369132931
baseline,99_Lautsprecher.png,Lautsprecher,lautsprecher,0.74448162317276,0.9166666666666666,0,28.5124601555152,0.0,433521256.0,0.0,0.2901960784313726,0.0,99_Lautsprecher.png,99,99_Lautsprecher.png,0.813963649813671,0.1327795007785259,0.2862745069411765,0.2078850175221181
baseline,100_Ubernahme.png,Ubernahme,lubernahne,0.0197638813406229,0.7,0,30.369935312982285,0.0,303233540.0,0.0,0.3254901960784314,0.0,100_Ubernahme.png,100,100_Ubernahme.png,0.8011421526141734,0.1166024072513767,0.3254901928235295,0.2012010624400599
baseline,101_abc.png,abc,abc,0.6140270233154297,1.0,1,39.01929242708236,0.0,41712662.0,0.0,0.4078431372549019,0.0,101_abc.png,101,101_abc.png,0.6919623823098956,0.3122069456223405,0.4078431331764706,0.0866569063502924
baseline,102_2.png,2,2,0.4876611232757568,1.0,1,45.73012382569649,0.0,37406976.0,0.0,0.4509803921568627,0.0,102_2.png,102,102_2.png,0.7343965781179961,0.2753721200084271,0.4549019562352941,0.0699686029574418
baseline,103_1.png,1,1,0.3694237470626831,1.0,1,42.3114382332047,0.0,24055272.0,0.0,0.4313725490196078,0.0,103_1.png,103,103_1.png,0.7304417915097469,0.2880831444797592,0.4274509761176471,0.0698830945297273
baseline,104_3.png,3,3,0.391185849905014,1.0,1,49.8897506029295,0.0,43602852.0,0.0,0.4784313725490196,0.0,104_3.png,104,104_3.png,0.7364086412467297,0.2766850602743842,0.4745097991764706,0.0736998986193098
baseline,105_def.png,def,def,0.4806183278560638,1.0,1,39.03430499822293,0.0,43813764.0,0.0,0.4,0.0,105_def.png,105,105_def.png,0.682427445175728,0.28762305004094,0.3999999960000001,0.0952298057880289
baseline,106_Anrufliste.png,Anrufliste,anrufliste,0.8290690183639526,0.9,0,38.12806273037388,0.0,557107586.0,0.0,0.4078431372549019,0.0,106_Anrufliste.png,106,106_Anrufliste.png,0.825532300944291,0.3236368049272943,0.4078431331764706,0.2113015453505299
baseline,107_NA.png,,na,0.6811367273330688,0.0,0,32.97290514006909,0.0,121867862.0,0.0,0.3254901960784314,0.0,107_NA.png,107,107_NA.png,0.7641777945569301,0.2877910775556472,0.3254901928235295,0.2446791791158185
baseline,108_NA.png,,na,0.3782987296581268,0.0,0,41.54350235768042,0.0,206821922.0,0.0,0.4078431372549019,0.0,108_NA.png,108,108_NA.png,0.799781047900695,0.2700537972768094,0.4039215645882353,0.2685550424794831
baseline,109_NA.png,,na,0.4275820553302765,0.0,0,36.95812248910948,0.0,134055998.0,0.0,0.3568627450980392,0.0,109_NA.png,109,109_NA.png,0.7960852853267549,0.2735963280940717,0.3568627415294118,0.2048122784625197
baseline,110_IMPORTED.png,IMPORTED,imported,0.6258061528205872,0.0,0,76.36655850027792,0.0,691975184.0,0.0,0.6823529411764706,0.0,110_IMPORTED.png,110,110_IMPORTED.png,0.795628801711109,0.4286715074622891,0.6823529343529413,0.1492137269406336
baseline,111_BEER.png,BEER,beer,0.6721394062042236,0.0,0,73.3921774763844,0.0,283548226.0,0.0,0.6431372549019608,0.0,111_BEER.png,111,111_BEER.png,0.7100709454130477,0.3148669710920069,0.6470588170588236,0.1616999505719315
